City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
52,Kloulklubed,PW,7.04,134.26,77.0,94,90,13.87,light intensity shower rain,2.66,0.0
53,Saint Joseph,US,39.77,-94.85,23.0,92,90,3.36,fog,0.0,0.0
54,Jamestown,US,42.1,-79.24,32.0,92,90,3.36,mist,0.0,0.0
55,Beringovskiy,RU,63.05,179.32,14.85,96,100,25.32,snow,0.0,0.6
56,Kampong Thum,KH,12.71,104.89,76.33,60,0,8.68,clear sky,0.0,0.0
57,Great Falls,US,47.5,-111.3,42.01,41,1,24.16,clear sky,0.0,0.0
58,Chokurdakh,RU,70.63,147.92,-27.85,86,93,6.2,overcast clouds,0.0,0.0
59,Castro,BR,-24.79,-50.01,62.2,96,60,10.76,broken clouds,0.0,0.0
60,Ust-Ilimsk,RU,58.0,102.66,-18.2,86,100,8.66,overcast clouds,0.0,0.0
61,Torbay,CA,47.67,-52.73,28.99,73,90,8.05,overcast clouds,0.0,0.0
62,Tuktoyaktuk,CA,69.45,-133.04,-0.4,84,75,21.92,broken clouds,0.0,0.0
63,Wenling,CN,28.37,121.36,51.01,70,98,9.06,overcast clouds,0.0,0.0
64,Acapulco,MX,16.86,-99.89,78.8,74,20,4.43,few clouds,0.0,0.0
65,Champerico,GT,14.3,-91.92,64.99,94,1,7.47,clear sky,0.0,0.0
66,East London,ZA,-33.02,27.91,67.41,81,1,13.29,clear sky,0.0,0.0
67,Bumba,CD,2.18,22.47,72.84,85,100,1.83,overcast clouds,0.0,0.0
68,Ust-Nera,RU,64.57,143.2,-27.4,75,95,3.87,overcast clouds,0.0,0.0
69,Atar,MR,20.52,-13.05,60.33,35,0,7.47,clear sky,0.0,0.0
70,Tongling,CN,30.95,117.78,38.03,75,0,2.33,clear sky,0.0,0.0
71,Bonavista,CA,48.65,-53.11,21.2,85,100,3.36,overcast clouds,0.0,0.0
72,Kapaa,US,22.08,-159.32,78.8,65,40,12.75,scattered clouds,0.0,0.0
73,Atuona,PF,-9.8,-139.03,78.35,73,18,17.69,few clouds,0.0,0.0
74,Cherskiy,RU,68.75,161.3,-22.72,84,100,5.1,overcast clouds,0.0,0.0
75,Nome,US,64.5,-165.41,5.0,92,1,6.78,clear sky,0.0,0.0
76,Sawtell,AU,-30.38,153.1,80.6,74,40,16.11,scattered clouds,0.0,0.0
77,Barmer,IN,25.75,71.38,52.75,47,0,9.46,clear sky,0.0,0.0
78,Bethel,US,41.37,-73.41,34.0,80,41,3.0,scattered clouds,0.0,0.0
79,Khatanga,RU,71.97,102.5,-24.25,81,75,7.56,broken clouds,0.0,0.0
80,Nizhnevartovsk,RU,60.93,76.55,-34.6,73,0,2.24,clear sky,0.0,0.0
81,Deming,US,32.27,-107.76,48.2,23,1,14.99,clear sky,0.0,0.0
82,Bemidji,US,47.47,-94.88,26.6,86,1,6.93,clear sky,0.0,0.0
83,Omboue,GA,-1.57,9.26,76.51,85,94,4.07,light rain,0.14,0.0
84,Ribeira Grande,PT,38.52,-28.7,62.31,82,100,34.67,overcast clouds,0.0,0.0
85,Tautira,PF,-17.73,-149.15,84.2,54,40,4.7,light rain,0.15,0.0
86,Topeka,US,39.05,-95.68,28.99,79,1,3.36,clear sky,0.0,0.0
87,Narsaq,GL,60.92,-46.05,30.2,80,95,1.12,light shower snow,0.0,0.37
88,Calbuco,CL,-41.77,-73.13,60.8,82,75,4.7,broken clouds,0.0,0.0
